Complaint,Category,,,,,
The build of this good is very poor compared to the description.,Product Integrity & Accuracy,,,,,
i want to convert my frequency from annual to yearly!,Subscriptions,,,,,
I want to be alerted when this good is in stock again.,Inventory,,,,,
Can you apply this discount manually to my payment?,Promotions,,,,,
The application is stuck on the buffering screen forever.,Technical Issues,,,,,
The invite credit was not added to my account!,Promotions,,,,,
I need to update my shipping address for all future orders!,Account & Profile Management,,,,,
"Excuse me, i think my membership has been hacked or breached.",Security and Privacy,,,,,
"Excuse me, The courier lost my shipment and I need help.",Delivery,,,,,
"Hi, I signed up for the welcome gift but never received it.",Promotions,,,,,
"Hi, i didn't get the bonus with my transaction.",Promotions,,,,,
the quality of this merchandise is very poor compared to the description.,Product Integrity & Accuracy,,,,,
part of the kit is gone from the parcel.,Product Integrity & Accuracy,,,,,
"I'm sorry, but can I get a trial for your service?",Subscriptions,,,,,
Can I change my username on the website?,Account & Profile Management,,,,,
"Hello, I can't place an order because the site is too slow.",Technical Issues,,,,,
"Hi, Someone made an fraudulent order using my account!",Security and Privacy,,,,,
"Excuse me, my service plan benefits are not working correctly.",Subscriptions,,,,,
"Excuse me, why is the stock count incorrect on the UI?",Inventory,,,,,
I need a return label for my shipment.,Refund & Returns,,,,,
My purchase has been out for delivery for three days now.,Delivery,,,,,
I was informed that the item is out of supply after I checked out!,Inventory,,,,,
the invite credit was not added to my profile.,Promotions,,,,,
the application is stuck on the buffering screen forever!,Technical Issues,,,,,
the good looks nothing like the online photo on the site!,Product Integrity & Accuracy,,,,,
The merchandise was stopped right after I ordered it.,Inventory,,,,,
i was charged twice for my recent request!,Billing & Transaction Problems,,,,,
My discount code is not applying to my order.,Promotions,,,,,
"Hello, where is my box? The delivery tracking says it is sorting center!",Delivery,,,,,
the merchandise looks nothing like the advertised image on the online shop.,Product Integrity & Accuracy,,,,,
This item seems to be a pre-owned unit instead of new.,Product Integrity & Accuracy,,,,,
i want to upgrade my tier to the pro level.,Subscriptions,,,,,
"Hi, when will this unit be back in the fulfillment center?",Inventory,,,,,
"Excuse me, Can you explain this account charges error on my account?",Billing & Transaction Problems,,,,,
"Hello, Where is my package? The tracking link says it is transit.",Delivery,,,,,
I was charged twice for my recent purchase.,Billing & Transaction Problems,,,,,
i want to close my account permanently!,Account & Profile Management,,,,,
Part of the bundle is missing from the box.,Product Integrity & Accuracy,,,,,
the gadget I bought won't turn on!,Product Integrity & Accuracy,,,,,
The product I got is out of date and cannot be used.,Product Integrity & Accuracy,,,,,
I can't log in because the site is too slow.,Technical Issues,,,,,
"I'm sorry, but The forex conversion for my transaction seems incorrect.",Billing & Transaction Problems,,,,,
i want to exchange my product for a different size!,Refund & Returns,,,,,
"I'm sorry, but My payment method was charged the wrong amount!",Billing & Transaction Problems,,,,,
"I'm sorry, but Is this product a limited edition or will more be manufactured?",Inventory,,,,,
"Hi, I'm getting a 500 error when I click the order button.",Technical Issues,,,,,
the postal service was supposed to deliver my request yesterday but it's late!,Delivery,,,,,
I haven't received a receipt for my payment.,Billing & Transaction Problems,,,,,
"Hello, why is the stock count wrong on the screen?",Inventory,,,,,
The storefront keeps freezing whenever I try to place an order.,Technical Issues,,,,,
my checkout was rejected but the money was deducted from my bank.,Billing & Transaction Problems,,,,,
I need a breakdown of the charges on my latest bank statement.,Billing & Transaction Problems,,,,,
i can't view my cart because the storefront is too slow.,Technical Issues,,,,,
Tracking number #992211 is not updating for my transaction!,Delivery,,,,,
"Hello, i need a return label for my package.",Refund & Returns,,,,,
"Hello, I haven't received a confirmation for my payment!",Billing & Transaction Problems,,,,,
"Excuse me, i want to exchange my item for a different size.",Refund & Returns,,,,,
"Hello, i was invoiced twice for my recent purchase.",Billing & Transaction Problems,,,,,
when will this unit be back in the warehouse?,Inventory,,,,,
where is my shipment? The tracking info says it is transit!,Delivery,,,,,
"Hello, the courier lost my package and I need help.",Delivery,,,,,
the item I got is old and cannot be used.,Product Integrity & Accuracy,,,,,
can you apply this discount manually to my buy?,Promotions,,,,,
I think my membership has been stolen or breached!,Security and Privacy,,,,,
internal server failure is preventing me from finishing my place an order!,Technical Issues,,,,,
"Excuse me, my payment was declined but the money was withdrawn from my bank.",Billing & Transaction Problems,,,,,
"Excuse me, the courier was supposed to deliver my request yesterday but it's late.",Delivery,,,,,
"I'm sorry, but i need an update on my shipment transit status.",Delivery,,,,,
the merchandise is out of stock and I need to know when it will be restocked.,Inventory,,,,,
"Excuse me, How do I link my Google to my account?",Account & Profile Management,,,,,
i think my account has been stolen or compromised.,Security and Privacy,,,,,
i want to use my loyalty points for this purchase.,Promotions,,,,,
why is my shipment postponed in transit?,Delivery,,,,,
How do I update my email in my profile?,Account & Profile Management,,,,,
the product I received is damaged and smashed.,Product Integrity & Accuracy,,,,,
the good I received is cracked and non-functional!,Product Integrity & Accuracy,,,,,
the refund amount I received is less than what I paid.,Refund & Returns,,,,,
I need a breakdown of the costs on my latest billing history.,Billing & Transaction Problems,,,,,
I was charged twice for my recent request.,Billing & Transaction Problems,,,,,
The product looks nothing like the online photo on the storefront.,Product Integrity & Accuracy,,,,,
my membership perks are not working correctly.,Subscriptions,,,,,
i want to merge two profiles that I have.,Account & Profile Management,,,,,
How do I hold my account for a few months?,Subscriptions,,,,,
i can't view my cart because the site is too slow.,Technical Issues,,,,,
I want to exchange my order for a full reimbursement.,Refund & Returns,,,,,
The courier was supposed to deliver my purchase yesterday but it's late.,Delivery,,,,,
"Hello, i need a return slip for my parcel.",Refund & Returns,,,,,
i want to improve my level to the pro level.,Subscriptions,,,,,
There is a glitch in the application's latest update!,Technical Issues,,,,,
the forex conversion for my payment seems incorrect.,Billing & Transaction Problems,,,,,
I was billed twice for my recent request.,Billing & Transaction Problems,,,,,
"Hi, The online shop says in stock but it's actually on waiting list.",Inventory,,,,,
"Excuse me, The friend link credit was not added to my profile!",Promotions,,,,,
"Excuse me, i want to improve my level to the pro level!",Subscriptions,,,,,
the merchandise I received is damaged and non-functional.,Product Integrity & Accuracy,,,,,
"Excuse me, i can't modify my mobile on the membership settings.",Account & Profile Management,,,,,
There is a bug in the software's latest update.,Technical Issues,,,,,
i want to exchange my request for a full reimbursement.,Refund & Returns,,,,,
"Hello, My coupon is not applying to my transaction.",Promotions,,,,,
"Hi, i want to merge two accounts that I have.",Account & Profile Management,,,,,
"I'm sorry, but I need to update my shipping address for all future orders.",Account & Profile Management,,,,,
The exchange rate conversion for my payment seems incorrect.,Billing & Transaction Problems,,,,,
"Hello, I want to enable multi-factor authentication for better security.",Security and Privacy,,,,,
The quality of this merchandise is very poor compared to the description.,Product Integrity & Accuracy,,,,,
